t,state,mode,x,y,z,vx,vy,vz,carrot_z,force,cmd,az,solve_ms
7.192952953002532,nav_to_wp,0,-0.0017066258005797863,0.8432887196540833,1.7997294664382935,-0.007692096754908562,0.5883620977401733,-0.0013793399557471275,1.8,0.3803404444316023,32735,0.22536792695520447,0.46589099656557664
7.211964832997182,nav_to_wp,0,-0.0018855248345062137,0.8489792943000793,1.7997320890426636,-0.008780010975897312,0.5834239721298218,-0.0014227638021111488,1.8,0.3803680015708316,32737,0.22609502825413053,0.4349590017227456
7.231880623003235,nav_to_wp,0,-0.0021409473847597837,0.8601470589637756,1.7997190952301025,-0.009787356480956078,0.5786969065666199,-0.0014372277073562145,1.8,0.3804030134709248,32740,0.2270188250903633,0.34125599631806836
7.252099495002767,nav_to_wp,0,-0.00239158165641129,0.8712584972381592,1.7997055053710938,-0.010054919868707657,0.5743623971939087,-0.0014103641733527184,1.8,0.38041843423591926,32741,0.22742570543322493,0.6563470014953054
7.272889658997883,nav_to_wp,0,-0.0026243291795253754,0.8823171257972717,1.7996920347213745,-0.009618734009563923,0.570468008518219,-0.001377834938466549,1.8,0.3804303490015626,32742,0.22774007919690042,0.6963850028114393
7.292002180998679,nav_to_wp,0,-0.002824328141286969,0.893075168132782,1.7996803522109985,-0.008522624149918556,0.5658807754516602,-0.0013984693214297295,1.8,0.3804695518027587,32746,0.22877445389864626,0.4406340012792498
7.312212646000262,nav_to_wp,0,-0.0029839177150279284,0.903819739818573,1.7996671199798584,-0.006830836646258831,0.5620191097259521,-0.0014067173469811678,1.8,0.38050290127670117,32749,0.22965438724805054,0.5133059967192821
7.33192615200096,nav_to_wp,0,-0.0030934910755604506,0.9145559072494507,1.79965341091156,-0.004609316121786833,0.5588602423667908,-0.0014048574957996607,1.8,0.38052975705555414,32751,0.23036298299614977,0.46073699922999367
7.353214091002883,nav_to_wp,0,-0.003147315699607134,0.9260660409927368,1.7996364831924438,-0.0017959349788725376,0.5573635101318359,-0.0013476640451699495,1.8,0.3805262263358969,32751,0.23026982416614317,0.455809997220058
7.373639782003011,nav_to_wp,0,-0.0031306291930377483,0.9366797208786011,1.7996243238449097,0.001277871080674231,0.5549454092979431,-0.0013402393087744713,1.8,0.38054671955895625,32752,0.2308105424526694,0.792266997450497
7.393024124001386,nav_to_wp,0,-0.0030439402908086777,0.9473156929016113,1.7996126413345337,0.004648392554372549,0.5533018112182617,-0.0012496039271354675,1.8,0.38052274361356725,32750,0.23017793175639056,0.48372699529863894
7.413037671998609,nav_to_wp,0,-0.00288365944288671,0.9579801559448242,1.7996025085449219,0.008231262676417828,0.5523842573165894,-0.0011519440449774265,1.8,0.380491349547519,32748,0.2293495922828228,0.4740980002679862
7.432304554000439,nav_to_wp,0,-0.0026478678919374943,0.9686791896820068,1.7995936870574951,0.011944267898797989,0.5521379709243774,-0.0010637161321938038,1.8,0.38046151349239593,32745,0.22856236127693563,0.6536139990203083
7.453507546997571,nav_to_wp,0,-0.00230324431322515,0.9805726408958435,1.799583911895752,0.016075752675533295,0.5529147386550903,-0.0009923260658979416,1.8,0.3804387593757953,32743,0.22796198880726237,0.8433190014329739
7.473297260003164,nav_to_wp,0,-0.0019080683123320341,0.9914038181304932,1.799576997756958,0.01981579326093197,0.5540863275527954,-0.000960018951445818,1.8,0.3804320651880737,32743,0.22778536116289416,0.647095002932474
7.492864147003274,nav_to_wp,0,-0.0014407626586034894,1.0022823810577393,1.7995707988739014,0.023447519168257713,0.5557355284690857,-0.0009055514819920063,1.8,0.3804135458660547,32741,0.22729672469801088,0.43976600136375055
7.511990760998742,nav_to_wp,0,-0.0008763328660279512,1.0140705108642578,1.7995610237121582,0.027075668796896935,0.559232771396637,-0.0008457303047180176,1.8,0.38039170214694595,32739,0.2267203732703411,0.4354109987616539
7.532212596001045,nav_to_wp,0,-0.0002640439779497683,1.0250917673110962,1.799560308456421,0.030296238139271736,0.5617178082466125,-0.0007884399965405464,1.8,0.3803665073221829,32737,0.22605560216841347,0.5224699998507276
7.552306254001451,nav_to_wp,0,0.0003950504760723561,1.0363420248031616,1.7995538711547852,0.03318387642502785,0.565166711807251,-0.0007514907047152519,1.8,0.3803569198104467,32736,0.22580263352102037,0.574502999370452
7.572726297999907,nav_to_wp,0,0.0010922307847067714,1.0472924709320068,1.799551248550415,0.0356593057513237,0.567206084728241,-0.0007783761247992516,1.8,0.3803809965457439,32738,0.2264379035816333,0.7249059999594465
7.591983423000784,nav_to_wp,0,0.0018125104252249002,1.058049201965332,1.7995481491088867,0.037665121257305145,0.5682730674743652,-0.0008718064054846764,1.8,0.3804422867848981,32743,0.22805506028754685,0.429031002568081
7.611984534996736,nav_to_wp,0,0.00256399461068213,1.068906545639038,1.7995429039001465,0.039252668619155884,0.569758415222168,-0.0009457990527153015,1.8,0.38049490222413684,32748,0.22944333045215792,0.4358380028861575
7.631966535001993,nav_to_wp,0,0.0033375241328030825,1.0798609256744385,1.799536108970642,0.040402594953775406,0.5715656280517578,-0.0010005021467804909,1.8,0.38053812390049846,32752,0.23058374407647442,0.4839879984501749
7.651981226001226,nav_to_wp,0,0.004123732913285494,1.0909080505371094,1.79952871799469,0.041099295020103455,0.5736222267150879,-0.0010368665680289268,1.8,0.3805711077596746,32754,0.23145403059827352,0.4891360003966838
7.67257884600258,nav_to_wp,0,0.004913145210593939,1.1020430326461792,1.7995214462280273,0.0413365513086319,0.5758637189865112,-0.0010560406371951103,1.8,0.3805934184777875,32756,0.2320427038994044,0.6508130027214065
7.692919786000857,nav_to_wp,0,0.005696391686797142,1.113261103630066,1.799514889717102,0.04111573472619057,0.5782259106636047,-0.0010415911674499512,1.8,0.38059602108046925,32757,0.23211137415485972,0.42161400051554665
7.712864800996613,nav_to_wp,0,0.0065073370933532715,1.1252976655960083,1.7995139360427856,0.04041661322116852,0.5815184712409973,-0.0009058220311999321,1.8,0.3805275300686336,32751,0.23030422344679558,0.4330930023570545
7.731949740998971,nav_to_wp,0,0.007326849736273289,1.1376888751983643,1.7995089292526245,0.039428889751434326,0.5859454274177551,-0.0007060868665575981,1.8,0.38043007138128776,32742,0.22773275412368577,0.48739200428826734
7.752225513999292,nav_to_wp,0,0.008034809492528439,1.1491237878799438,1.799511432647705,0.03787500411272049,0.5880846381187439,-0.000650445930659771,1.8,0.380395430519145,32739,0.22681874720699113,0.5006959981983528
7.772878819996549,nav_to_wp,0,0.008701852522790432,1.160613775253296,1.7995147705078125,0.03594745323061943,0.5901035070419312,-0.0006351601332426071,1.8,0.3803779569268794,32738,0.22635770255618404,0.6580479966942221
7.792001351997897,nav_to_wp,0,0.009305370040237904,1.1718772649765015,1.799518346786499,0.03360411524772644,0.5906819105148315,-0.0006937086582183838,1.8,0.3803958596305155,32739,0.22683006940673955,0.42771699372678995
7.811956846999237,nav_to_wp,0,0.00987276155501604,1.1834684610366821,1.799522042274475,0.03104424849152565,0.5923948884010315,-0.0006608078256249428,1.8,0.38036555551109635,32737,0.2260304884194273,0.44528899888973683
7.832046069997887,nav_to_wp,0,0.01036834716796875,1.1948318481445312,1.7995253801345825,0.028169455006718636,0.5927165746688843,-0.0006973547860980034,1.8,0.38036952577455757,32737,0.22613524471127988,0.4980909943697043
7.852127457001188,nav_to_wp,0,0.010804467834532261,1.2062466144561768,1.7995283603668213,0.025107111781835556,0.5929914712905884,-0.0007548709399998188,1.8,0.380383332572959,32738,0.22649954018361207,0.6004390015732497
7.872325235999597,nav_to_wp,0,0.011178150773048401,1.2177037000656128,1.799530029296875,0.0219053253531456,0.5931904911994934,-0.0008239457383751869,1.8,0.38040388937783015,32740,0.2270419360905045,0.6586640010937117
7.891943447997619,nav_to_wp,0,0.011487445794045925,1.2291947603225708,1.7995316982269287,0.01861155405640602,0.5932900309562683,-0.0008135514799505472,1.8,0.3803844624359405,32738,0.22652935187177903,0.4530439982772805
7.911965109000448,nav_to_wp,0,0.011731432750821114,1.2407115697860718,1.7995339632034302,0.01527676172554493,0.5932745337486267,-0.0007933354936540127,1.8,0.3803595134498104,32736,0.22587106727731765,0.4605270005413331
7.931965258001583,nav_to_wp,0,0.011910275556147099,1.2522468566894531,1.799536943435669,0.011945991776883602,0.5931334495544434,-0.0007674668449908495,1.8,0.3803313099811578,32734,0.22512691243160177,0.43137000466231257
7.952244651998626,nav_to_wp,0,0.012025034055113792,1.2637935876846313,1.79953932762146,0.008664485067129135,0.5928606986999512,-0.0008093584328889847,1.8,0.3803384828805438,32734,0.22531617099060064,0.6848369957879186
7.972947939997539,nav_to_wp,0,0.01207762397825718,1.2753446102142334,1.7995405197143555,0.005476919934153557,0.5924538373947144,-0.0008635371923446655,1.8,0.380354287342456,32736,0.22573317526268966,0.817004001874011
7.991896394996729,nav_to_wp,0,0.012070860713720322,1.2868940830230713,1.7995405197143555,0.002424262696877122,0.5919156670570374,-0.0009129944373853505,1.8,0.38037039484567814,32737,0.226158175347706,0.374045004718937
8.011785499002144,nav_to_wp,0,0.012008321471512318,1.2984365224838257,1.799539566040039,-0.00045648193918168545,0.5912513732910156,-0.0009574625873938203,1.8,0.38038648455714535,32739,0.22658270599328034,0.31963500077836215
8.031709454997326,nav_to_wp,0,0.01189427450299263,1.3099671602249146,1.7995377779006958,-0.003132697194814682,0.5904676914215088,-0.0009881400037556887,1.8,0.3803980584710747,32740,0.2268880863080387,0.3333889981149696
8.052089336997597,nav_to_wp,0,0.011733554303646088,1.321481704711914,1.7995359897613525,-0.00557368528097868,0.5895751118659973,-0.000980194192379713,1.8,0.3803916585278538,32739,0.22671922237081077,0.6336790029308759
8.072553386002255,nav_to_wp,0,0.011531518772244453,1.3329763412475586,1.7995346784591675,-0.007755589671432972,0.5885854363441467,-0.0009164604125544429,1.8,0.38035805456255933,32736,0.22583257421000802,0.6922269967617467
8.09211089600285,nav_to_wp,0,0.01129390299320221,1.3444480895996094,1.7995342016220093,-0.00966042373329401,0.5875126719474792,-0.0008558288682252169,1.8,0.3803261508670721,32733,0.22499078804939465,0.46633499732706696
8.112056106001546,nav_to_wp,0,0.01102667860686779,1.355894684791565,1.7995338439941406,-0.011273314245045185,0.5863722562789917,-0.000871510012075305,1.8,0.380333327192976,32734,0.22518013701783524,0.4534050021902658
8.13245429500239,nav_to_wp,0,0.010735992342233658,1.367314338684082,1.7995325326919556,-0.012585118412971497,0.5851829648017883,-0.0009105900535359979,1.8,0.3803543264768562,32736,0.2257342078326161,0.5404719995567575
8.152546691999305,nav_to_wp,0,0.010437767952680588,1.378851294517517,1.7995258569717407,-0.013542060740292072,0.5846086740493774,-0.0009461737354286015,1.8,0.38038004924179647,32738,0.22641290875452214,0.5247379958746023
8.172418754002138,nav_to_wp,0,0.01010891143232584,1.3900678157806396,1.7995260953903198,-0.014296133071184158,0.582740306854248,-0.0009920720476657152,1.8,0.38040492292526273,32740,0.22706920647131135,0.5705099974875338
8.191999160997511,nav_to_wp,0,0.009791195392608643,1.4015488624572754,1.799517035484314,-0.014664447866380215,0.5821815729141235,-0.0010307538323104382,1.8,0.3804360456626871,32743,0.22789038687828622,0.44492899905890226
8.212059249002778,nav_to_wp,0,0.009466052055358887,1.4128550291061401,1.7995113134384155,-0.01478575449436903,0.5810073018074036,-0.0010751021327450871,1.8,0.3804672756111791,32746,0.22871439607332533,0.4892489960184321
