t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz
19.972064183999464,nav_to_wp,0,-0.0005047997692599893,2.4621901512145996,1.7961187362670898,0.003758589504286647,0.30821165442466736,-0.00042714783921837807,-1.4999586578759574e-19,2.478018952228312,1.799787295810099,0.38040128311353993,32740,0.2269731692226884,-0.012327276725842651,-0.0014453110674803593,0.5616819980787113,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
19.992011184996954,nav_to_wp,0,-0.000429711741162464,2.468021869659424,1.7961246967315674,0.004140716511756182,0.3086514174938202,-0.0005027416627854109,-1.4911663066741803e-19,2.484009528199447,1.799788542624423,0.38043671773443477,32743,0.2279081196420769,-0.012261966942285785,-0.001725014702216976,0.5516890014405362,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.01202583599661,nav_to_wp,0,-0.00034777860855683684,2.4738824367523193,1.7961288690567017,0.004471031948924065,0.3092731833457947,-0.0005770369898527861,-1.4823584781682134e-19,2.4900106494689282,1.7997897916335321,0.3804732234193708,32746,0.22887133032640428,-0.01208171223797241,-0.001984621769861139,0.5543059996853117,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.031885590997263,nav_to_wp,0,-0.0002602160966489464,2.4797730445861816,1.7961314916610718,0.004742049612104893,0.310048371553421,-0.0006500545423477888,-1.4735661097963644e-19,2.496001237138712,1.7997910384502906,0.3805104842728872,32749,0.2298544663030917,-0.011778167092306356,-0.002218924869392014,0.4777789981744718,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.051883550997445,nav_to_wp,0,-0.00016400645836256444,2.4859602451324463,1.7961324453353882,0.004957160912454128,0.31086090207099915,-0.0007321408484131098,-1.4647558934921981e-19,2.5020039853093694,1.7997922877980057,0.3805530339053692,32753,0.23097714789892265,-0.01115590890586379,-0.0024328554234422928,0.4794610031240154,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.07200264599669,nav_to_wp,0,-6.99371230439283e-05,2.4918577671051025,1.7961331605911255,0.005085373297333717,0.3116408586502075,-0.0007359040901064873,-1.4559383068555354e-19,2.508011755178517,1.7997935381908832,0.38055817184353485,32753,0.23111271354973084,-0.010861722971508194,-0.0025990794496812963,0.5451719989650883,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.092020342999604,nav_to_wp,0,2.5432913389522582e-05,2.497789144515991,1.7961345911026,0.0051405467092990875,0.31253737211227417,-0.0007111504673957825,-1.4471396988610916e-19,2.5140065941494973,1.7997947858924621,0.38054771759118616,32752,0.23083687575688927,-0.010457536056062176,-0.0027283931749053636,0.5691340011253487,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.111974130999442,nav_to_wp,0,0.0001205323715112172,2.5037529468536377,1.7961366176605225,0.005121150054037571,0.31351906061172485,-0.0006861137226223946,-1.4383222619287522e-19,2.5200142620191794,1.7997960362641106,0.3805361559892949,32751,0.2305318202980171,-0.009987988978928254,-0.002818245683575249,0.49950899847317487,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.13188980799896,nav_to_wp,0,0.00021381171245593578,2.5097479820251465,1.7961392402648926,0.005024168640375137,0.3145543038845062,-0.0006591947749257088,-1.4295348470339069e-19,2.526001474689531,1.799797282378433,0.38052264424560966,32750,0.23017530991054436,-0.009435977245864506,-0.0028654271214698657,0.4777960020874161,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.151843402996747,nav_to_wp,0,0.00030365490238182247,2.5157721042633057,1.7961424589157104,0.00485085416585207,0.315618634223938,-0.0006307028234004974,-1.420742241334141e-19,2.5319922240601938,1.7997985292288463,0.3805075265214811,32749,0.2297764253688932,-0.008841815789261447,-0.0028688901414302137,0.47374600035254844,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.17194204199768,nav_to_wp,0,0.00038853089790791273,2.5218241214752197,1.7961463928222656,0.004602629225701094,0.31668752431869507,-0.0006009899079799652,-1.4119078837623223e-19,2.5380114206295326,1.799799781999955,0.38049098930500663,32748,0.2293400872033402,-0.00824582364604951,-0.0028277664083034004,0.505181000335142,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.192018332996668,nav_to_wp,0,0.00047070058644749224,2.528175115585327,1.7961503267288208,0.004267146810889244,0.31765133142471313,-0.0005774036981165409,-1.403118347018787e-19,2.5440000789991615,1.7998010284151695,0.38047675795175,32746,0.22896458975593603,-0.007358540260222438,-0.0027379094161599227,0.5965010022919159,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.211947780997434,nav_to_wp,0,0.0005403061513788998,2.5342233180999756,1.7961552143096924,0.0038733403198421,0.31843844056129456,-0.0005530200432986021,-1.3942993941015208e-19,2.550008779769221,1.799802279001795,0.38046229607920473,32745,0.22858301000540138,-0.0069035093667343065,-0.002604178271047086,0.5098170004202984,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.231747008998354,nav_to_wp,0,0.0006008835625834763,2.540296792984009,1.796160340309143,0.003420337336137891,0.31921011209487915,-0.000526882242411375,-1.385502078855432e-19,2.5560027379397128,1.7998035265200534,0.3804466160705919,32744,0.22816928946152615,-0.006414508895530099,-0.00242983315623424,0.36037199970451184,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
20.25159810599871,nav_to_wp,0,0.0006541215698234737,2.5466983318328857,1.7961655855178833,0.0028948402032256126,0.31997278332710266,-0.0005023714620620012,-1.3767242988044275e-19,2.561983386010599,1.7998047712680902,0.3804308821226399,32742,0.22775414571609254,-0.00557126128373113,-0.002209645410333083,0.29993099815328605,4.403091315613894e-20,0.29999999350233,6.2438785657844e-05,3.5,3.5,0.1,0.0,0.0,0.0
