t,state,mode,x,y,z,vx,vy,vz,carrot_x,carrot_y,carrot_z,force,cmd,az,roll,pitch,solve_ms,ref_vx,ref_vy,ref_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,vbat,cmd_ctrl,spool_ceil,accz,hover_raw,hover_cmd,hover_est,hover_b50,hover_kf,kf_sigma,kf_used,b50_n,hover_vbat,az_mpc,eps0,eps_max,ge_az,d_hat,d_x,d_y,z_ground
18.72730480300379,rising,0,0.01529906876385212,0.002094256691634655,1.4232640266418457,0.02532556839287281,-0.005270747933536768,0.2940991222858429,0.035696689039468765,-0.0022382065653800964,1.4392961223522434,0.4023020284840232,42416,0.8048292475995549,0.0016874290109057284,0.007690652076954407,1.8422850116621703,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.594721555709839,42416,nan,0.9970203042030334,42542.764496561744,39200,41827.92241452676,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.6950203996077322,-0.06757223756954378,0.011616895463817316,0.0354328490793705
18.746556848986074,rising,0,0.015275180339813232,0.0021991825196892023,1.430645227432251,0.02547552064061165,-0.005141764413565397,0.29303523898124695,0.035696689039468765,-0.0022382065653800964,1.4452968555473489,0.401108386059992,42290,0.7733347245380457,0.0018614048657540905,0.007662590800061597,1.180411985842511,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.594721555709839,42290,nan,1.0005072355270386,42268.559884749695,39200,41833.797580796396,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.6950203996077322,-0.06757223756954378,0.011616895463817316,0.0354328490793705
18.767411154985894,rising,0,0.015253699384629726,0.002218896523118019,1.4356062412261963,0.024465816095471382,-0.004797099623829126,0.29236793518066406,0.035696689039468765,-0.0022382065653800964,1.451316288349335,0.40276682175033574,42465,0.8170929221724457,0.0020444813543557252,0.008153772493290301,1.947291981196031,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,42465,nan,1.0052926540374756,42241.430721144985,39200,41839.23268933438,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.6950203996077322,-0.06757223756954378,0.011616895463817316,0.0354328490793705
18.787069915997563,rising,0,0.015284457243978977,0.0022782229352742434,1.4405912160873413,0.024307621642947197,-0.004672277253121138,0.2929899990558624,0.035696689039468765,-0.0022382065653800964,1.457405823949375,0.40383671297088813,42577,0.8453222419759392,0.0021596506173617597,0.008180051797279875,1.2908080243505538,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,42577,nan,1.005805492401123,42331.24627144108,39200,41845.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.6950203996077322,-0.06757223756954378,0.011616895463817316,0.0354328490793705
18.806739941006526,rising,0,0.015284457243978977,0.0022782229352742434,1.4405912160873413,0.024150289595127106,-0.00460441131144762,0.29382166266441345,0.035696689039468765,-0.0022382065653800964,1.4633880339504683,0.4108986784842582,43322,1.0316537858643304,0.0021555664238327313,0.008116043163654885,1.0538850037846714,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,43322,nan,1.0148024559020996,42690.08194455865,39200,41855.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.6950203996077322,-0.06757223756954378,0.011616895463817316,0.0354328490793705
18.827159926993772,rising,0,0.015284457243978977,0.0022782229352742434,1.4405912160873413,0.025783376768231392,-0.005040294956415892,0.29613205790519714,0.035696689039468765,-0.0022382065653800964,1.4694942309492034,0.4173733444974638,44005,1.202489300724638,0.001913236789228071,0.007207559969928612,1.1121240095235407,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,44005,nan,1.021011471748352,43099.41780051408,39200,41865.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.7185279985139776,-0.06886076613487117,0.012807345359252695,0.0354328490793705
18.846677475987235,rising,0,0.015190300531685352,0.00253053056076169,1.46077299118042,0.027376903221011162,-0.0052919816225767136,0.2998398244380951,0.035696689039468765,-0.0022382065653800964,1.4753397222521014,0.39759776143150843,41920,0.6807061063722522,0.0021356235585852108,0.006859183849725836,0.9874489915091544,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,41920,nan,1.0278093814849854,40785.772882743804,39200,41855.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.7185279985139776,-0.06886076613487117,0.012807345359252695,0.0354328490793705
18.86658482000348,rising,0,0.015119056217372417,0.002661903854459524,1.4686484336853027,0.023761076852679253,-0.00394950108602643,0.2999231815338135,0.035696689039468765,-0.0022382065653800964,1.4812817103549605,0.3951460517286651,41661,0.6160171960069949,0.002961413905341508,0.008804042669672274,1.2513809779193252,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,41661,nan,1.040082573890686,40055.47352279611,39200,41845.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.7185279985139776,-0.06886076613487117,0.012807345359252695,0.0354328490793705
18.88670689999708,rising,0,0.015070153400301933,0.0027753415051847696,1.4740735292434692,0.022396499291062355,-0.0032030045986175537,0.31031474471092224,0.035696689039468765,-0.0022382065653800964,1.4873069580498848,0.3907039995245962,41193,0.4988126523640144,0.003493398257514718,0.009652762624823508,1.2560560135170817,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,41193,nan,1.031219244003296,39945.918619676515,39200,41835.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.7185279985139776,-0.06886076613487117,0.012807345359252695,0.0354328490793705
18.907200946996454,rising,0,0.015039332211017609,0.0028654613997787237,1.4822287559509277,0.021908441558480263,-0.0027191496919840574,0.3183158040046692,0.035696689039468765,-0.0022382065653800964,1.493385324650444,0.3841093383435488,40497,0.32481103808835776,0.0038991957629773717,0.01010472821827424,1.1402200034353882,0.0,0.0,0.3,0.01911289266762714,-0.22989248740492696,0.21016083005070688,0.0,0.0,0.0,3.5894429683685303,40497,nan,1.0143046379089355,39925.87481753764,39200,41825.79287042913,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-0.7185279985139776,-0.06886076613487117,0.012807345359252695,0.0354328490793705
